Treatment,Concentration_uM,Viability_%,Batch,Time_h
Control,0,102.48357076505616,Batch3,24
Drug_A,0,99.30867849414408,Batch1,24
Drug_B,0,103.23844269050346,Batch3,24
Drug_C,0,107.61514928204012,Batch2,24
Control,0,98.82923312638331,Batch1,24
Drug_A,0,98.8293152152541,Batch2,24
Drug_B,0,107.89606407753696,Batch2,24
Drug_C,0,103.83717364576455,Batch2,24
Control,0,97.65262807032524,Batch3,24
Drug_A,0,102.71280021792982,Batch3,24
Drug_B,0,97.68291153593769,Batch1,24
Drug_C,0,97.67135123214871,Batch1,24
Control,0,101.20981135783018,Batch3,24
Drug_A,0,90.43359877671101,Batch2,24
Drug_B,0,91.37541083743484,Batch1,24
Drug_C,0,97.18856235379513,Batch3,24
Control,0,94.93584439832789,Batch3,24
Drug_A,0,101.57123666297637,Batch3,24
Drug_B,0,95.45987962239394,Batch2,24
Drug_C,0,92.93848149332354,Batch3,24
Control,0,107.32824384460777,Batch3,24
Drug_A,0,98.87111849756732,Batch3,24
Drug_B,0,100.33764102343962,Batch3,24
Drug_C,0,92.87625906893271,Batch1,24
Control,10,97.27808637737408,Batch1,24
Drug_A,10,99.05461294854933,Batch3,24
Drug_B,10,93.24503211288848,Batch2,24
Drug_C,10,99.87849009172837,Batch1,24
Control,10,96.99680655040598,Batch3,24
Drug_A,10,97.04153125103362,Batch1,24
Drug_B,10,95.99146693885301,Batch1,24
Drug_C,10,107.26139092254469,Batch2,24
Control,10,99.93251387631032,Batch3,24
Drug_A,10,93.21144535522049,Batch3,24
Drug_B,10,103.11272456051594,Batch2,24
Drug_C,10,91.89578175014489,Batch2,24
Control,10,101.04431797502377,Batch3,24
Drug_A,10,88.70164938060113,Batch3,24
Drug_B,10,92.35906975550785,Batch2,24
Drug_C,10,98.98430617934562,Batch1,24
Control,10,103.69233289997705,Batch1,48
Drug_A,10,99.35684140594985,Batch2,48
Drug_B,10,98.4217585880588,Batch1,48
Drug_C,10,96.49448152205356,Batch2,48
Control,10,92.60739004816287,Batch1,48
Drug_A,10,94.90077895802645,Batch1,48
Drug_B,10,96.69680614520107,Batch3,48
Drug_C,10,103.28561113109458,Batch3,48
Control,50,101.71809144784231,Batch1,48
Drug_A,50,83.68479922318633,Batch1,48
Drug_B,50,96.62041984697397,Batch3,48
Drug_C,50,88.07458859791842,Batch3,48
Control,50,96.6153899984702,Batch3,48
Drug_A,50,95.55838144420434,Batch2,48
Drug_B,50,100.15499761247976,Batch1,48
Drug_C,50,94.65640059558099,Batch3,48
Control,50,95.80391238388681,Batch1,48
Drug_A,50,90.95393812074393,Batch2,48
Drug_B,50,96.65631715701782,Batch2,48
Drug_C,50,94.8777256356118,Batch3,48
Control,50,97.60412881077355,Batch2,48
Drug_A,50,91.57170511668092,Batch1,48
Drug_B,50,89.46832512996986,Batch3,48
Drug_C,50,84.01896687959665,Batch1,48
Control,50,104.06262911197099,Batch1,48
Drug_A,50,99.28120014285412,Batch2,48
Drug_B,50,94.63994939209833,Batch2,48
Drug_C,50,95.01766448946012,Batch2,48
Control,50,101.80818012523817,Batch2,48
Drug_A,50,89.27440122697438,Batch2,48
Drug_B,50,96.80697802754207,Batch3,48
Drug_C,50,97.69018283232984,Batch1,48
Control,100,99.82086980445024,Batch1,48
Drug_A,100,92.82321827907003,Batch1,48
Drug_B,100,76.90127447955128,Batch1,48
Drug_C,100,84.10951252187611,Batch2,48
Control,100,100.43523534119086,Batch1,48
Drug_A,100,83.50496324767066,Batch3,48
Drug_B,100,90.45880388267751,Batch3,48
Drug_C,100,70.06215542699553,Batch1,48
Control,100,98.90164056081244,Batch1,72
Drug_A,100,86.78556285755873,Batch3,72
Drug_B,100,97.38947022370758,Batch3,72
Drug_C,100,77.40864890863176,Batch2,72
Control,100,95.95753198553406,Batch3,72
Drug_A,100,82.49121478207732,Batch2,72
Drug_B,100,94.57701058851038,Batch2,72
Drug_C,100,81.64375554829843,Batch2,72
Control,100,97.3511989811648,Batch2,72
Drug_A,100,87.56633716556678,Batch2,72
Drug_B,100,90.4853877467402,Batch1,72
Drug_C,100,84.84322495266444,Batch3,72
Control,100,96.48973453061323,Batch2,72
Drug_A,100,83.36168926701116,Batch3,72
Drug_B,100,88.0394592343392,Batch3,72
Drug_C,100,72.68242525933941,Batch2,72
Control,500,101.48060138532288,Batch1,72
Drug_A,500,26.305276360899448,Batch2,72
Drug_B,500,50.025567283212304,Batch1,72
Drug_C,500,13.827064333124266,Batch3,72
Control,500,92.92314628974793,Batch1,72
Drug_A,500,22.896773386173205,Batch1,72
Drug_B,500,48.286427417366156,Batch1,72
Drug_C,500,10.988613653891905,Batch3,72
Control,500,99.19357144166996,Batch3,72
Drug_A,500,27.020254284072692,Batch1,72
Drug_B,500,59.43092950605265,Batch1,72
Drug_C,500,15.872889064159194,Batch2,72
Control,500,101.28775195361382,Batch1,72
Drug_A,500,24.627770421169163,Batch2,72
Drug_B,500,40.40614392350479,Batch1,72
Drug_C,500,14.867430622753915,Batch2,72
Control,500,100.30115104970513,Batch3,72
Drug_A,500,37.316210562426434,Batch1,72
Drug_B,500,49.03819517609439,Batch1,72
Drug_C,500,16.507736711668063,Batch1,72
Control,500,99.82644115147379,Batch1,72
Drug_A,500,19.15660981190234,Batch2,72
Drug_B,500,55.7141140725751,Batch1,72
Drug_C,500,18.759665163433873,Batch3,72
