Enzyme,Temperature_C,Activity_U/mL,pH,Substrate_mM
Wild_Type,20,6.8446208878717725,6.0,10
Mutant_A,25,-2.3445304972552035,6.0,1
Mutant_B,30,78.10748446970588,6.5,20
Wild_Type,35,93.40436592135447,7.5,5
Mutant_A,40,97.74646069892671,7.0,1
Mutant_B,45,6.3668880533755114,8.0,20
Wild_Type,50,20.94289532173534,7.5,1
Mutant_A,55,54.196529178433,7.0,5
Mutant_B,60,6.324180506915206,7.0,1
Wild_Type,65,-2.156707380272662,6.0,20
Mutant_A,70,-1.5005349685959282,7.5,10
Mutant_B,75,2.276598426204478,6.5,10
Wild_Type,20,-2.785692273919855,7.0,1
Mutant_A,25,-2.1125508084009623,7.5,5
Mutant_B,30,82.46455424061871,6.5,5
Wild_Type,35,95.45737693450488,6.0,1
Mutant_A,40,103.1317754055703,6.5,5
Mutant_B,45,5.339724690027204,6.0,20
Wild_Type,50,13.217757468223638,6.5,5
Mutant_A,55,39.697444997272065,8.0,5
Mutant_B,60,0.08007547031257611,6.5,20
Wild_Type,65,-0.7647815267634114,6.5,10
Mutant_A,70,11.383452740507018,7.5,5
Mutant_B,75,-1.9955784642093737,7.5,20
Wild_Type,20,5.829844077971165,6.0,20
Mutant_A,25,6.618785742623697,7.0,20
Mutant_B,30,79.46009719328534,6.0,20
Wild_Type,35,98.85697883649142,6.5,1
Mutant_A,40,95.43062714831946,6.5,10
Mutant_B,45,12.617963078185634,8.0,5
Wild_Type,50,11.412561547316038,7.0,10
Mutant_A,55,48.18478000874759,7.5,10
Mutant_B,60,-0.6815454388781157,6.0,5
Wild_Type,65,0.9752598307354866,8.0,5
Mutant_A,70,-1.7016361812196668,7.5,10
Mutant_B,75,8.295243777378209,6.0,1
Wild_Type,20,-4.677724394314307,7.0,5
Mutant_A,25,9.194461598178973,7.0,1
Mutant_B,30,76.60496439398904,7.0,1
Wild_Type,35,103.72386958821211,6.5,5
Mutant_A,40,99.56217378483592,7.5,20
Mutant_B,45,13.506880548862638,6.0,5
